rank,Name,Domain,tech_stack,reason,redirect_same_company,gate_reason,enrichment_errors,apify_visits,outreach_priority
125.0,Advocate,ouradvocates.com/,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: ouradvocates.com -> joinadvocate.com. Content would belong to joinadvocate.com, not the prospect.",,79440.0,na
566.0,Cargo,getcargo.io,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getcargo.io -> getcargo.ai. Content would belong to getcargo.ai, not the prospect.",,14678.0,na
158.0,Aside,asidehq.com,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: asidehq.com -> aside.com. Content would belong to aside.com, not the prospect.",,7396.0,na
119.0,Mentra,mentra.glass/,shopify,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: mentra.glass -> mentraglass.com. Content would belong to mentraglass.com, not the prospect.",,6656.0,na
127.0,warmwind,warmwind.space/,react,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: warmwind.space -> warmwind.com. Content would belong to warmwind.com, not the prospect.",,5083.0,na
439.0,Plend,plend.co.uk,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: plend.co.uk -> plend.com. Content would belong to plend.com, not the prospect.",,4449.0,na
475.0,Revyl,www.revyl.ai,react,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: revyl.ai -> revyl.com. Content would belong to revyl.com, not the prospect.",Desktop: HTTP 500,3652.0,na
460.0,FTX US,ftx.us/,react,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: ftx.us -> ftx.com. Content would belong to ftx.com, not the prospect.",,2296.0,na
797.0,Brainbase,usebrainbase.com,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: usebrainbase.com -> brainbaselabs.com. Content would belong to brainbaselabs.com, not the prospect.",,2110.0,na
273.0,Educato AI,www.educato.ai/,react,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: educato.ai -> educato.com. Content would belong to educato.com, not the prospect.",,1896.0,na
492.0,Foodini,getfoodini.com,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getfoodini.com -> foodini.co. Content would belong to foodini.co, not the prospect.",,1659.0,na
574.0,TAHO,taho.is/,custom/static,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: taho.is -> taholabs.com. Content would belong to taholabs.com, not the prospect.",,1406.0,na
909.0,Ranger AI,www.rangerrfx.com/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: rangerrfx.com -> rangerx.ai. Content would belong to rangerx.ai, not the prospect.",,983.0,na
783.0,Dodo,www.dodo.health,react,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: dodo.health -> dodo.ai. Content would belong to dodo.ai, not the prospect.",,836.0,na
165.0,Aktos,www.getaktos.com,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getaktos.com -> aktos.ai. Content would belong to aktos.ai, not the prospect.",,679.0,na
505.0,Entendre Finance,entendre.finance/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: entendre.finance -> entendre.ai. Content would belong to entendre.ai, not the prospect.",,440.0,na
663.0,Assemble Labs,www.assemblelabs.co,wordpress,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: assemblelabs.co -> assemblelabs.ai. Content would belong to assemblelabs.ai, not the prospect.",,419.0,na
940.0,Optiwatt,getoptiwatt.com/,custom/static,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getoptiwatt.com -> optiwatt.com. Content would belong to optiwatt.com, not the prospect.",Desktop: HTTP 400,407.0,na
710.0,VoiceLine,www.getvoiceline.com,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getvoiceline.com -> voiceline.ai. Content would belong to voiceline.ai, not the prospect.",,362.0,na
468.0,Studdy,www.studdy.ai/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: studdy.ai -> studdyai.com. Content would belong to studdyai.com, not the prospect.",,343.0,na
368.0,HYBRD,www.hybrd.app/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: hybrd.app -> hybrd.com. Content would belong to hybrd.com, not the prospect.",,0.0,na
536.0,DRIMCo,drimco.net,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: drimco.net -> drimco.ai. Content would belong to drimco.ai, not the prospect.",,0.0,na
560.0,resourcly,www.resourcly.earth,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: resourcly.earth -> resourcly.com. Content would belong to resourcly.com, not the prospect.",,0.0,na
610.0,Needle,needle-ai.com/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: needle-ai.com -> needle.app. Content would belong to needle.app, not the prospect.",,0.0,na
657.0,Akave,www.akave.ai/,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: akave.ai -> akave.com. Content would belong to akave.com, not the prospect.",,0.0,na
673.0,Valyu,www.valyu.network/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: valyu.network -> valyu.ai. Content would belong to valyu.ai, not the prospect.",,0.0,na
680.0,Stable Sea,www.stablesea.xyz,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: stablesea.xyz -> stablesea.com. Content would belong to stablesea.com, not the prospect.",,0.0,na
712.0,Advex AI,www.advex.ai,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: advex.ai -> advexai.com. Content would belong to advexai.com, not the prospect.",,0.0,na
741.0,Mosaic,usemosaic.ai/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: usemosaic.ai -> mosaic.so. Content would belong to mosaic.so, not the prospect.",,0.0,na
753.0,Noded Ai,noded.so,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: noded.so -> getnoded.ai. Content would belong to getnoded.ai, not the prospect.",,0.0,na
774.0,Coinfeeds,www.coinfeeds.io,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: coinfeeds.io -> coinfeeds.ai. Content would belong to coinfeeds.ai, not the prospect.",,0.0,na
