Name,Domain,tech_stack,monthly_visits,letter_grade,priority,signal_category,chosen_signal,angle_rationale,inference,why_it_matters,use_traffic_scale,genuine_positive,quotable_fact_to_use,secondary_point,secondary_reasoning,case_study_name,case_study_rationale,case_study_url,tone_flag,first_message,second_message,third_message
Feedcoyote,feedcoyote.com,angular,46015,D,high,performance,site speed (real-user load 6.87s),"performance_really_poor is TRUE (desktop 41, real-user load 6.87s) and traffic is high (46k/mo), so speed is the concrete, defensible lead. It beats design (44, not lacking) and content (56, fine). Secondary GDPR cookie finding staged for message 2.","At ~46k visits a month, a lot of new freelancers land on the site and decide fast whether to sign up.","Traffic is high, so a faster first load means more of the arriving freelancers stay long enough to join (gain-framed, not loss).",True,"Real traction: ~46k visits/month, Techstars-backed, named testimonials.",real-user load ~6.87s,ad cookies before consent: Meta Pixel (consent banner present but not gating),Only distinctive secondary in the bundle (ad_cookies_before_consent + has_consent_banner true). Framed as a GDPR heads-up with EU traffic as an explicit assumption.,Flatable,"Double match: performance is the lead AND Feedcoyote is two-sided (freelancers + clients); Flatable is the two-audience performance rebuild (95 PageSpeed, two journeys).",https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across Feedcoyote while looking at creator tools.

You're pulling around 46k visits a month, so I'd guess plenty of new freelancers are landing on the site and deciding fast whether to sign up.

I ran a quick speed test and it came back over 6 seconds to load. At that kind of traffic, a faster first load means more of them stick around long enough to join.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Also, quick heads up, your cookie banner shows but the Meta Pixel cookie is already set before anyone clicks accept, so it's not really gating it yet. I'm assuming you'll have EU visitors at your traffic, so that part just needs to be GDPR compliant. Quick to sort though.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Clear,www.cleareyetest.com,angular,4944,D,medium,content,"content depth (thin, 35)","content_really_thin is TRUE (35) and content_reasoning confirms it lacks the substance/credibility a clinical buyer needs; that beats design (46, not lacking) and there's no perf issue (desktop 75) or high traffic. Content depth is the honest lead for a trust-driven clinical product.","For a clinically aligned eye-measurement tool with no hardware, trust in the results is everything, and the site is where that trust gets built.","Traffic is low, so framed around trust/credibility rather than scale: room to show more of the clinical proof.",False,Clinically aligned refractive measurement without the usual hardware.,clinically aligned measurement without the hardware,none,No secondary_signals in the bundle.,Amalia,Industry-adjacent (life sciences / regulated ~ clinical health) and problem-matched to building out a site with real depth a non-technical team can expand. Honest relevance without claiming same space.,https://prismport.co/case-studies/amalia-tech,clean,"Hey {first-name}, came across Clear while looking at health tools.

You're doing clinically aligned eye measurement without the usual hardware, so I'd guess trust is everything, people need to believe the results hold up.

Which means the site is where that trust gets built. And there's room for it to go deeper on the clinical proof behind what you do.

Have you thought about building the site out to show more of it?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a life sciences company in a heavily regulated space, on a similar challenge, building out a site with real depth their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Clear, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
National Cryptocurrency Association,nca.org/,contentful,25216,D,high,content,"content depth (education-first, thin 49)","NCA's product IS its educational content, and content_really_thin is TRUE (49): for a content/education business, thin content supersedes a fine design (52). Beats a soft-design lead and there's no perf issue. Secondary GDPR cookie finding staged for message 2.","Their whole job is making crypto understandable to everyday people, so most visitors land wanting to genuinely learn, which makes the depth of the content the actual product.","Traffic is high (25k), but framed around depth/return-visits rather than a leak: room to grow into the go-to resource.",False,A real education mission with guides and a 2026 State of Crypto Holders report.,none,"ad cookies before consent: Meta Pixel, Microsoft Ads (consent banner present but not gating)","Distinctive, defensible secondary (ad_cookies_before_consent + banner true). Named two products, framed as GDPR heads-up with EU traffic as an assumption.",NewsCatcherAPI,"Problem-match: turning content people skim into content they stay and read (engagement up 3,600%, 20s to 3+ min). Industry differs (API vs crypto education) so the relevance line stays about the shared challenge, not the space.",https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across the National Cryptocurrency Association while looking at crypto tools.

Your whole job is making crypto make sense to everyday people, so I'd guess most of them land wanting to genuinely understand it.

Which means the depth of what you publish is really the product. And there's room for the site to grow into the go-to resource people keep coming back to.

Have you thought about building it out that way?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical content company, on a similar challenge, turning a site people skimmed into one they actually stayed and read.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, quick heads up, your cookie banner shows but the Meta Pixel and Microsoft Ads cookies are already set before anyone clicks accept. I'm assuming you'll have EU visitors at your traffic, so that side just needs to be GDPR compliant. Quick to sort though.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Hoora,hooragames.com/en,custom/static,0,D-,low,design,soft design refresh (last resort),"content_score is 20 but content_reasoning shows the grader captured an app UI (nav links), not a marketing page, so 'thin content' would be a false finding, not a lead. Design (45) isn't lacking, no perf issue, traffic 0. So it's the last-resort soft refresh, grounded in the product being a fun instant games feed. AI-invisibility staged for message 2.","They've packed 200+ casual games into one instant feed, so the whole appeal is how fast someone can just start playing, and the site is the first taste of that.","Traffic is 0, so framed as first-impression for new players rather than scale.",False,"200+ casual games in one instant, scrollable feed.",200+ casual games in an instant feed,AI-invisible (site renders entirely client-side),ai_invisible_client_rendered is TRUE and is the rarer/more distinctive secondary; relevant for a discovery-driven consumer product.,YourCulture,"Problem-match: a lively, fun consumer product needing a site as energetic as the thing itself; YourCulture's motion-rich build transfers. Industry differs, relevance kept honest.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Hoora while looking at gaming tools.

You've packed 200+ casual games into one instant feed, so I'd guess the whole appeal is how quickly someone can just start playing.

Which means the site is the first taste new players get of that. And there's room for it to show off the feed and pull people straight in.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a creator and artist platform, on a similar challenge to yours, making a site that feels as lively as the thing it's showing off.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
iAsk Ai,iask.ai/,custom/static,1037821,C,high,other,strong traction / precinct (750M searches),"No concrete flaw: design (48) and content (66) are fine, speed is perfect, not AI-invisible. But there's a very strong precinct (750M searches, huge traffic), so the honest lead is business-inference anchored on that traction, not a manufactured problem or a design knock.","They've crossed 750M searches, so growth is mostly the product spreading on its own, which makes the site the front door for a huge wave of first-time users.","Traffic is very high (1M+/mo), so scale framing is honest: the site is the first impression for a large wave of new users.",True,750 million searches processed; product clearly winning.,750 million searches,none,No secondary_signals in the bundle.,Webless AI,"Exact space-match: Webless is an AI-search product, iAsk is an AI search engine; the rebuild that lifted conversion for one transfers directly. Honest same-space claim allowed here.",https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across iAsk while looking at AI tools.

You've crossed 750 million searches, so I'd guess growth is mostly the product spreading on its own by now.

Which means the site is the front door for a huge wave of first-time users. And there's room for it to feel as premium as the product itself.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI search product a lot like yours, on a similar challenge, making the site convert the flood of first-time visitors better.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with iAsk, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pickleheads,www.pickleheads.com,custom/static,530468,C-,high,other,strong traction / community precinct (500k+ visits),"Design (52) and content (69) are fine, speed gate is FALSE (desktop 67 but load 1.05s, so no speed mention), modern stack. Strong precinct instead: 530k visits/mo and 'automate weekly invites' supports a genuine community-growth inference. Beats a soft-design lead.","They're the go-to for finding courts and games at 500k+ visits a month, so a lot of growth is players bringing in other players.","Traffic is very high, so scale framing is honest: the site is where a steady wave of new players first land.",True,"The go-to court/game finder; 500k+ visits, DUPR integration, automated invites.",500k+ visits a month,none,No secondary_signals in the bundle.,Flatable,"Problem-match: two distinct audiences (players and court owners) each needing their own path; Flatable is the two-journey rebuild. Kept the relevance line about the two-audience challenge, not industry.",https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across Pickleheads while looking at consumer apps.

You've become the go-to for finding courts and games, with over 500k visits a month, so I'd guess a lot of that growth is players bringing in other players.

Which means the site is where a steady wave of new players first land. And there's room for it to feel as polished as the community is active.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with Pickleheads, where players and court owners both need their own path, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
SimpleX Chat,simplex.chat,custom/static,212694,B-,high,other,strong precinct (security audits / privacy credibility),"Design (52) and content (74) are both fine, no perf issue. Strong precinct instead: Trail of Bits audits + privacy-community endorsements. Trust-led inference beats a soft-design lead.","Trail of Bits has audited them twice and the privacy community vouches for them, so trust is the whole reason people switch.","Traffic is high but framed on trust/first-impression, not scale: the site is where a new user decides to trust them.",False,Two Trail of Bits security audits; endorsed by Privacy Guides and Whonix.,Trail of Bits audited them twice,none,No secondary_signals in the bundle.,NewsCatcherAPI,"Technical/privacy-savvy audience; NewsCatcher's rebuild made a dense, credible product land with evaluators. Problem-match on credibility/engagement, honest on industry.",https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across SimpleX while looking at privacy tools.

You've had Trail of Bits audit you twice and the privacy community vouching for you, so I'd guess trust is the whole reason people switch to you.

Which means the site is a big part of that first impression for someone deciding to trust you. And there's room for it to feel as considered as the security work behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, making a dense, credible product actually land with the people evaluating it.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with SimpleX, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pin,www.pin.com,custom/static,163378,C+,high,other,strong precinct (4.8/5 across 27 G2 reviews),"Design (50) and content (84) fine, no perf. Strong precinct: 4.8 on G2 + named testimonials. Traction/word-of-mouth inference beats soft design. Ad-cookie GDPR finding (banner false) staged for msg 2.","A 4.8 across 27 verified G2 reviews means recruiters hear about them and look them up, so growth is reputation-led.","Traffic high but framed on the site closing warm leads, not scale.",False,4.8/5 across 27 verified G2 reviews; named customer testimonials.,4.8 across 27 verified reviews on G2,"ad cookies before consent: Meta Pixel, Google Ads (no consent banner)","Distinctive, defensible; banner is absent so cookies load immediately. Framed as GDPR heads-up with EU traffic as an assumption.",NewsCatcherAPI,B2B credibility rebuild that got evaluators to engage; problem-match on turning a strong reputation into on-site conviction.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Pin while looking at AI tools.

You've pulled a 4.8 across 27 verified reviews on G2, so I'd guess a lot of new business comes from recruiters hearing about you and looking you up.

Which means the site is doing the convincing when they land to check you out. And there's room for it to feel as sharp as the reviews make you sound.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting the people evaluating a strong product to actually engage with the site.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors at your traffic, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
GyanDhan,www.gyandhan.com/,custom/static,155569,B-,high,other,two-sided marketplace / lender-trust precinct,"Design (47) and content (81) fine, no perf. It's a two-sided education-loan marketplace with major bank partners; trust-led inference beats soft design. Dropped the cookie secondary: it's an India-market company so an EU/GDPR assumption is a weak fit.","Major banks lend through them, and students find them mid-crisis figuring out how to fund studying abroad.","Framed on making a nervous borrower feel safe fast, not scale.",False,Major bank lending partners (SBI etc.); 20+ lenders.,major banks like SBI lending through them,none,Ad-cookie finding exists but EU/GDPR framing is a weak fit for an India-market company; skipped.,Flatable,Two-sided marketplace (students + lenders) each needing a clear path; Flatable is the two-journey rebuild. Kept relevance to the two-audience challenge.,https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across GyanDhan while looking at fintech tools.

You've got major banks like SBI lending through you, so I'd guess most students find you right when they're deep in figuring out how to fund studying abroad.

Which means the site has to make a nervous borrower feel safe quickly. And there's room for it to carry that reassurance as strongly as your lending partners do.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with GyanDhan, where students and lenders each need their own path, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Skyvern,www.skyvern.com/,custom/static,91845,B+,high,other,strong precinct (10M+ workflows run / dev traction),"Design (58) and content (85) fine, perfect speed. Strong dev-traction precinct (10M+ workflows). Developer word-of-mouth inference beats soft design. SSL-expiry finding staged for msg 2.","10M+ workflows run means developers try it, like it, and tell other developers.","Framed on engineers deciding it's worth their time, not scale.",False,"10M+ workflows run; 21,900+ GitHub stars; YC-backed.",10 million workflows run,SSL certificate expiring in ~28 days,"Concrete, time-sensitive, genuinely useful; only secondary in the bundle.",NewsCatcherAPI,Developer-facing technical product; NewsCatcher rebuild helped engineers evaluate fast. Problem-match on landing quickly with a technical audience.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Skyvern while looking at AI tools.

You've crossed 10 million workflows run, so I'd guess a lot of growth comes from developers trying it, liking it, and telling other developers.

Which means the site is the first stop for engineers deciding if it's worth their time. And there's room for it to feel as sharp as the product clearly is.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting a developer-facing product to land fast with the engineers checking it out.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 28 days, worth a renew before it lapses.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
