Name,Domain,priority,signal_category,chosen_signal,case_study_name,case_study_url,first_message,second_message,third_message
Feedcoyote,feedcoyote.com,high,performance,site speed (real-user load 6.87s),Flatable,https://prismport.co/case-studies/flatable,"Hey {first-name}, came across Feedcoyote while looking at creator tools.

You're pulling around 46k visits a month, so I'd guess plenty of new freelancers are landing on the site and deciding fast whether to sign up.

I ran a quick speed test and it came back over 6 seconds to load. At that kind of traffic, a faster first load means more of them stick around long enough to join.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Also, quick heads up, your cookie banner shows but the Meta Pixel cookie is already set before anyone clicks accept, so it's not really gating it yet. I'm assuming you'll have EU visitors at your traffic, so that part just needs to be GDPR compliant. Quick to sort though.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Clear,www.cleareyetest.com,medium,content,"content depth (thin, 35)",Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Clear while looking at health tools.

You're doing clinically aligned eye measurement without the usual hardware, so I'd guess trust is everything, people need to believe the results hold up.

Which means the site is where that trust gets built. And there's room for it to go deeper on the clinical proof behind what you do.

Have you thought about building the site out to show more of it?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a life sciences company in a heavily regulated space, on a similar challenge, building out a site with real depth their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Clear, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
National Cryptocurrency Association,nca.org/,high,content,"content depth (education-first, thin 49)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across the National Cryptocurrency Association while looking at crypto tools.

Your whole job is making crypto make sense to everyday people, so I'd guess most of them land wanting to genuinely understand it.

Which means the depth of what you publish is really the product. And there's room for the site to grow into the go-to resource people keep coming back to.

Have you thought about building it out that way?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical content company, on a similar challenge, turning a site people skimmed into one they actually stayed and read.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, quick heads up, your cookie banner shows but the Meta Pixel and Microsoft Ads cookies are already set before anyone clicks accept. I'm assuming you'll have EU visitors at your traffic, so that side just needs to be GDPR compliant. Quick to sort though.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Hoora,hooragames.com/en,low,design,soft design refresh (last resort),YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Hoora while looking at gaming tools.

You've packed 200+ casual games into one instant feed, so I'd guess the whole appeal is how quickly someone can just start playing.

Which means the site is the first taste new players get of that. And there's room for it to show off the feed and pull people straight in.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a creator and artist platform, on a similar challenge to yours, making a site that feels as lively as the thing it's showing off.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
iAsk Ai,iask.ai/,high,other,strong traction / precinct (750M searches),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across iAsk while looking at AI tools.

You've crossed 750 million searches, so I'd guess growth is mostly the product spreading on its own by now.

Which means the site is the front door for a huge wave of first-time users. And there's room for it to feel as premium as the product itself.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI search product a lot like yours, on a similar challenge, making the site convert the flood of first-time visitors better.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with iAsk, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pickleheads,www.pickleheads.com,high,other,strong traction / community precinct (500k+ visits),Flatable,https://prismport.co/case-studies/flatable,"Hey {first-name}, came across Pickleheads while looking at consumer apps.

You've become the go-to for finding courts and games, with over 500k visits a month, so I'd guess a lot of that growth is players bringing in other players.

Which means the site is where a steady wave of new players first land. And there's room for it to feel as polished as the community is active.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with Pickleheads, where players and court owners both need their own path, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
SimpleX Chat,simplex.chat,high,other,strong precinct (security audits / privacy credibility),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across SimpleX while looking at privacy tools.

You've had Trail of Bits audit you twice and the privacy community vouching for you, so I'd guess trust is the whole reason people switch to you.

Which means the site is a big part of that first impression for someone deciding to trust you. And there's room for it to feel as considered as the security work behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, making a dense, credible product actually land with the people evaluating it.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with SimpleX, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pin,www.pin.com,high,other,strong precinct (4.8/5 across 27 G2 reviews),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Pin while looking at AI tools.

You've pulled a 4.8 across 27 verified reviews on G2, so I'd guess a lot of new business comes from recruiters hearing about you and looking you up.

Which means the site is doing the convincing when they land to check you out. And there's room for it to feel as sharp as the reviews make you sound.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting the people evaluating a strong product to actually engage with the site.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors at your traffic, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
GyanDhan,www.gyandhan.com/,high,other,two-sided marketplace / lender-trust precinct,Flatable,https://prismport.co/case-studies/flatable,"Hey {first-name}, came across GyanDhan while looking at fintech tools.

You've got major banks like SBI lending through you, so I'd guess most students find you right when they're deep in figuring out how to fund studying abroad.

Which means the site has to make a nervous borrower feel safe quickly. And there's room for it to carry that reassurance as strongly as your lending partners do.

Have you thought about giving it a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with GyanDhan, where students and lenders each need their own path, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Skyvern,www.skyvern.com/,high,other,strong precinct (10M+ workflows run / dev traction),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Skyvern while looking at AI tools.

You've crossed 10 million workflows run, so I'd guess a lot of growth comes from developers trying it, liking it, and telling other developers.

Which means the site is the first stop for engineers deciding if it's worth their time. And there's room for it to feel as sharp as the product clearly is.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting a developer-facing product to land fast with the engineers checking it out.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 28 days, worth a renew before it lapses.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
